City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Azacualpa,HN,84.85,broken clouds,15.3433,-88.5514,Hotel Merendon
3,Atambua,ID,76.05,overcast clouds,-9.1061,124.8925,Ros Muskanan
14,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
15,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
16,Hambantota,LK,77.38,overcast clouds,6.1241,81.1185,Bungalow 63
19,Impfondo,CG,77.7,broken clouds,1.6381,18.0667,Auberge La Place de Jules
31,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
34,Georgetown,MY,81.23,light rain,5.4112,100.3354,Cititel Penang
36,Bambous Virieux,MU,70.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
40,Anloga,GH,80.1,broken clouds,5.7947,0.8973,Pin Drop Hotel
45,Waddan,LY,72.97,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
49,Puerto Ayora,EC,73.36,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
51,Camopi,GF,84.99,overcast clouds,3.1655,-52.3158,La pousada
52,Lorengau,PG,82.99,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
54,Buala,SB,79.47,light rain,-8.145,159.5921,Maringe Lagoon Lodge
55,Catuday,PH,75.96,light rain,16.2923,119.8062,Benjie's Kubo & Cottages
60,Itoman,JP,73.42,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
62,Mataram,ID,77.81,heavy intensity rain,-8.5833,116.1167,Hotel Santika Mataram
63,Bahia Honda,CU,84.72,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
64,Inhambane,MZ,73.38,few clouds,-23.865,35.3833,Oceano
66,Atuona,PF,76.62,clear sky,-9.8,-139.0333,Villa Enata
67,Butaritari,KI,81.61,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
75,Banda Aceh,ID,78.98,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
84,Moron,AR,73.94,broken clouds,-34.6534,-58.6198,Hotel Morón
94,Kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
102,San Cristobal,VE,80.78,light rain,7.7669,-72.225,Pirineos
106,Koulamoutou,GA,72.75,moderate rain,-1.1303,12.4736,Motel Bouenguidi
110,Port Blair,IN,79.48,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
111,Weligama,LK,75.94,overcast clouds,5.9667,80.4167,Weligama Bay Resort
117,Santa Cruz,BO,80.06,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
121,Guerrero Negro,MX,80.71,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
124,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
129,Faanui,PF,77.38,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
131,Dingle,PH,76.32,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
133,Takaungu,KE,77.49,clear sky,-3.6837,39.8566,Takaungu House
135,Mattru,SL,75.29,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
136,Tabou,CI,77.63,scattered clouds,4.423,-7.3528,hotêl doufoulougou
139,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
140,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
143,Karratha,AU,73.13,clear sky,-20.7377,116.8463,ibis Styles Karratha
144,Bengkulu,ID,75.2,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
145,Arraial Do Cabo,BR,78.76,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
155,East London,ZA,70.27,overcast clouds,-33.0153,27.9116,Tu Casa
164,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
177,Tooele,US,72.23,clear sky,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
178,Mpanda,TZ,77.07,broken clouds,-6.3655,31.0409,CH Hotel - Mpanda
179,Caravelas,BR,79.75,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
181,Turan,VN,73.38,broken clouds,16.0678,108.2208,Grand Mercure Danang
189,Coahuayana,MX,84.2,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
191,Harper,LR,77.63,broken clouds,4.375,-7.7169,Screensaver
