CityID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Weiser,US,44.251,-116.9693,69.31,27,0,2.04,clear sky
1,Cabo San Lucas,MX,22.8909,-109.9124,87.19,61,20,14.97,few clouds
2,Azacualpa,HN,15.3433,-88.5514,84.85,59,51,3.38,broken clouds
3,Atambua,ID,-9.1061,124.8925,76.05,84,96,1.28,overcast clouds
4,Cape Town,ZA,-33.9258,18.4232,65.12,88,75,13.8,broken clouds
5,Barrow,US,71.2906,-156.7887,24.82,86,100,10.36,overcast clouds
6,Punta Arenas,CL,-53.15,-70.9167,55.51,50,40,28.77,scattered clouds
7,Busselton,AU,-33.65,115.3333,52.5,92,8,8.28,clear sky
8,Cloquet,US,46.7216,-92.4594,39.87,52,0,16.11,clear sky
9,Quatre Cocos,MU,-20.2078,57.7625,69.91,77,19,12.08,few clouds
10,Upernavik,GL,72.7868,-56.1549,29.17,79,100,17.09,overcast clouds
11,Vestmanna,FO,62.1564,-7.1664,40.12,93,100,2.3,drizzle
12,Bethel,US,41.3712,-73.414,58.19,46,20,6.91,few clouds
13,Namibe,AO,-15.1961,12.1522,67.41,77,3,7.9,clear sky
14,Mahebourg,MU,-20.4081,57.7,70.09,73,40,9.22,scattered clouds
15,Avarua,CK,-21.2078,-159.775,75.25,69,40,14.97,scattered clouds
16,Hambantota,LK,6.1241,81.1185,77.38,85,99,17.4,overcast clouds
17,Ushuaia,AR,-54.8,-68.3,47.86,71,75,26.46,broken clouds
18,Leningradskiy,RU,69.3833,178.4167,4.53,84,8,5.26,clear sky
19,Impfondo,CG,1.6381,18.0667,77.7,78,76,0.89,broken clouds
20,Tiksi,RU,71.6872,128.8694,7.88,93,99,7.31,overcast clouds
21,Saint Anthony,US,45.0205,-93.218,42.35,47,0,17.27,clear sky
22,Ponta Delgada,PT,37.7333,-25.6667,63.32,67,40,21.85,scattered clouds
23,Khatanga,RU,71.9667,102.5,28.99,96,100,23.31,light snow
24,Korla,CN,41.7597,86.1469,54.19,20,98,2.42,overcast clouds
25,Oranjestad,AW,12.524,-70.027,87.91,74,40,14.97,scattered clouds
26,Hermanus,ZA,-34.4187,19.2345,63.81,85,63,10.56,broken clouds
27,Mataura,NZ,-46.1927,168.8643,38.34,93,71,2.01,broken clouds
28,Ayan,RU,56.45,138.1667,28.65,53,9,21.74,clear sky
29,New Norfolk,AU,-42.7826,147.0587,51.71,62,100,2.62,overcast clouds
30,Hilo,US,19.7297,-155.09,88.29,68,0,4.0,clear sky
31,Vila Velha,BR,-20.3297,-40.2925,78.75,79,40,14.97,scattered clouds
32,Castro,BR,-24.7911,-50.0119,62.6,91,100,4.81,moderate rain
33,Torbay,CA,47.6666,-52.7314,54.28,96,100,10.36,light intensity drizzle
34,Georgetown,MY,5.4112,100.3354,81.23,90,20,0.0,light rain
35,Inuvik,CA,68.3499,-133.7218,25.56,100,100,4.61,mist
36,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,40,9.22,scattered clouds
37,Kodiak,US,57.79,-152.4072,49.51,81,100,9.22,light rain
38,Roald,NO,62.5833,6.1333,46.76,70,75,3.44,light rain
39,Albany,US,42.6001,-73.9662,57.38,59,44,8.61,scattered clouds
40,Anloga,GH,5.7947,0.8973,80.1,81,67,8.77,broken clouds
41,Komsomolskiy,UZ,40.4272,71.7189,57.92,77,75,9.22,light rain
42,Hamilton,US,39.1834,-84.5333,45.39,64,100,18.41,overcast clouds
43,Geraldton,AU,-28.7667,114.6,48.61,93,0,6.91,clear sky
44,Rikitea,PF,-23.1203,-134.9692,68.41,65,0,21.25,clear sky
45,Waddan,LY,29.1614,16.139,72.97,52,94,9.4,overcast clouds
46,Dikson,RU,73.5069,80.5464,29.28,79,100,12.68,overcast clouds
47,The Pas,CA,53.8251,-101.2541,48.22,40,0,16.11,clear sky
48,Port Alfred,ZA,-33.5906,26.891,68.18,92,49,3.0,scattered clouds
49,Puerto Ayora,EC,-0.7393,-90.3518,73.36,80,34,7.0,scattered clouds
50,Fortuna,US,40.5982,-124.1573,64.98,66,54,4.99,broken clouds
51,Camopi,GF,3.1655,-52.3158,84.99,59,100,4.12,overcast clouds
52,Lorengau,PG,-2.0226,147.2712,82.99,70,100,12.91,overcast clouds
53,Pevek,RU,69.7008,170.3133,2.44,95,100,4.81,overcast clouds
54,Buala,SB,-8.145,159.5921,79.47,84,89,6.53,light rain
55,Catuday,PH,16.2923,119.8062,75.96,91,100,10.8,light rain
56,Caraquet,CA,47.7941,-64.9386,55.94,91,100,11.54,overcast clouds
57,Yar-Sale,RU,66.8333,70.8333,39.7,95,100,14.63,overcast clouds
58,Abalak,RU,58.1286,68.5944,38.44,90,100,6.4,overcast clouds
59,Nemuro,JP,43.3236,145.575,43.99,81,10,14.52,clear sky
60,Itoman,JP,26.1247,127.6694,73.42,70,100,25.32,overcast clouds
